Language,Original,English,French,Spanish,Italian,German,Russian,Polish,Czech,Hungarian,Japanese
STR_ITEMS_SICKLE_DESC,A hand-held agricultural tool with a curved blade typically used for harvesting grain crops or cutting succulent forage chiefly for feeding livestock (either freshly cut or dried as hay).,A hand-held agricultural tool with a curved blade typically used for harvesting grain crops or cutting succulent forage chiefly for feeding livestock (either freshly cut or dried as hay).,A hand-held agricultural tool with a curved blade typically used for harvesting grain crops or cutting succulent forage chiefly for feeding livestock (either freshly cut or dried as hay).,A hand-held agricultural tool with a curved blade typically used for harvesting grain crops or cutting succulent forage chiefly for feeding livestock (either freshly cut or dried as hay).,A hand-held agricultural tool with a curved blade typically used for harvesting grain crops or cutting succulent forage chiefly for feeding livestock (either freshly cut or dried as hay).,A hand-held agricultural tool with a curved blade typically used for harvesting grain crops or cutting succulent forage chiefly for feeding livestock (either freshly cut or dried as hay).,"Ручной сельскохозяйственный инструмент с изогнутым лезвием, как правило, используется для уборки зерновых культур или срезания сочной травы, главным образом на корм скоту (в свежем виде или в виде сена).",A hand-held agricultural tool with a curved blade typically used for harvesting grain crops or cutting succulent forage chiefly for feeding livestock (either freshly cut or dried as hay).,A hand-held agricultural tool with a curved blade typically used for harvesting grain crops or cutting succulent forage chiefly for feeding livestock (either freshly cut or dried as hay).,A hand-held agricultural tool with a curved blade typically used for harvesting grain crops or cutting succulent forage chiefly for feeding livestock (either freshly cut or dried as hay).,A hand-held agricultural tool with a curved blade typically used for harvesting grain crops or cutting succulent forage chiefly for feeding livestock (either freshly cut or dried as hay).
STR_ITEMS_SICKLE,Sickle,Sickle,Sickle,Sickle,Sickle,Sickle,Серп,Sickle,Sickle,Sickle,Sickle
STR_ITEMS_CANNEDTUNA_DESC,A nutritious and long-lasted can of tuna. Will last two to five years depending on storage conditions.,A nutritious and long-lasted can of tuna. Will last two to five years depending on storage conditions.,A nutritious and long-lasted can of tuna. Will last two to five years depending on storage conditions.,A nutritious and long-lasted can of tuna. Will last two to five years depending on storage conditions.,A nutritious and long-lasted can of tuna. Will last two to five years depending on storage conditions.,A nutritious and long-lasted can of tuna. Will last two to five years depending on storage conditions.,Питательный консервированный тунец длительного срока хранения. Банку можно открыть консервным ножом. Хранится от 2 до 5 лет при соблюдении условий хранения.,A nutritious and long-lasted can of tuna. Will last two to five years depending on storage conditions.,A nutritious and long-lasted can of tuna. Will last two to five years depending on storage conditions.,A nutritious and long-lasted can of tuna. Will last two to five years depending on storage conditions.,A nutritious and long-lasted can of tuna. Will last two to five years depending on storage conditions.
STR_ITEMS_CANNEDTUNA,Canned Tuna,Canned Tuna,Canned Tuna,Canned Tuna,Canned Tuna,Canned Tuna,Консервированный тунец,Canned Tuna,Canned Tuna,Canned Tuna,Canned Tuna
STR_ITEMS_PEACHESCANNED_DESC,A tin can filled with skinned halves of peaches without cores. Includes sweet sauce.,A tin can filled with skinned halves of peaches without cores. Includes sweet sauce.,A tin can filled with skinned halves of peaches without cores. Includes sweet sauce.,A tin can filled with skinned halves of peaches without cores. Includes sweet sauce.,A tin can filled with skinned halves of peaches without cores. Includes sweet sauce.,A tin can filled with skinned halves of peaches without cores. Includes sweet sauce.,Консервная банка с очищенными половинками персика без косточек в сладком сиропе.,A tin can filled with skinned halves of peaches without cores. Includes sweet sauce.,A tin can filled with skinned halves of peaches without cores. Includes sweet sauce.,A tin can filled with skinned halves of peaches without cores. Includes sweet sauce.,A tin can filled with skinned halves of peaches without cores. Includes sweet sauce.
STR_DN_PUMP_DRINK,Drink Water,Drink Water,Drink Water,Drink Water,Drink Water,Drink Water,Drink Water,Drink Water,Drink Water,Drink Water,Drink Water
STR_USERACTIONS_FEED_POTATO_ROTTEN,Feed Rotten Potato,Feed Rotten Potato,Feed Rotten Potato,Feed Rotten Potato,Feed Rotten Potato,Feed Rotten Potato,Накормить гнилым картофелем,Feed Rotten Potato,Feed Rotten Potato,Feed Rotten Potato,Feed Rotten Potato
STR_ITEMS_PEACHESCANNED,Canned Peaches,Canned Peaches,Canned Peaches,Canned Peaches,Canned Peaches,Canned Peaches,Консервированные персики,Canned Peaches,Canned Peaches,Canned Peaches,Canned Peaches
STR_USERACTIONS_FEED_POTATO,Feed Potato,Feed Potato,Feed Potato,Feed Potato,Feed Potato,Feed Potato,Накормить картофелем,Feed Potato,Feed Potato,Feed Potato,Feed Potato
STR_USERACTIONS_EAT_POTATO_ROTTEN,Eat Rotten Potato,Eat Rotten Potato,Eat Rotten Potato,Eat Rotten Potato,Eat Rotten Potato,Eat Rotten Potato,Съесть гнилой картофель,Eat Rotten Potato,Eat Rotten Potato,Eat Rotten Potato,Eat Rotten Potato
STR_USERACTIONS_EAT_POTATO,Eat Potato,Eat Potato,Eat Potato,Eat Potato,Eat Potato,Eat Potato,Съесть картофель,Eat Potato,Eat Potato,Eat Potato,Eat Potato
$STR_USERACTIONS_FEED_POTATO,Feed Potato,Feed Potato,Feed Potato,Feed Potato,Feed Potato,Feed Potato,Накормить картофелем,Feed Potato,Feed Potato,Feed Potato,Feed Potato
STR_ITEMS_WOODENSTICK_LONG,Ashwood Stick,Ashwood Stick,Ashwood Stick,Ashwood Stick,Ashwood Stick,Ashwood Stick,Палка из ясеня,Ashwood Stick,Ashwood Stick,Ashwood Stick,Ashwood Stick
STR_ITEMS_WOODENSTICK_LONG_DESC,Some firm but flexible wooden stick.,Some firm but flexible wooden stick.,Some firm but flexible wooden stick.,Some firm but flexible wooden stick.,Some firm but flexible wooden stick.,Some firm but flexible wooden stick.,"Крепкая, но гибкая деревянная палка.",Some firm but flexible wooden stick.,Some firm but flexible wooden stick.,Some firm but flexible wooden stick.,Some firm but flexible wooden stick.
STR_ITEMS_BUTANECANISTER,Butane Canister,Butane Canister,Butane Canister,Butane Canister,Butane Canister,Butane Canister,Баллон с бутаном,Butane Canister,Butane Canister,Butane Canister,Butane Canister
STR_ITEMS_BUTANECANISTER_DESC,"Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","Пригоден для переносных газовых приборов (газовая плита, лампа). Хранить в сухом месте вдали от огня.","Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat."
